address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count,faiss_id
"West Cromwell Road , London",,1668,770,,Ask agent,Ask agent,House,1.0,,Ask agent,0.4,3,2654
"Elsham Terrace, Holland Park",,1673,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2655
"Holland Road, Kensington, W14",W14,1690,1875,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2656
"Warwick Road (7/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2657
"Warwick Road (5/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2658
"Warwick Road (7/119), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2659
"Warwick Road (8/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2660
"Warwick Road (6/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2661
"Warwick Road (B2/119), Earls Court, London, SW5",SW5,1699,1961,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2662
"Warwick Road (4/119), Earls Court, London, SW5",SW5,1699,1961,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2663
"Warwick Road (A1/119), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2664
"Nevern Place, Earls Court, London, SW5",SW5,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,184 sq ft,0.3,3,2665
"Penywern Road, LONDON",,1712,0,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,0.3,3,2666
"Penywern Road, London",,1712,790,,Ask agent,Ask agent,House,1.0,,Ask agent,0.3,3,2667
"Warwick Road, Warwick Road",,1712,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2668
"West Cromwell Road, Earls Court, London, SW5",SW5,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2669
"Trevor Square, Knightsbridge SW7",,10833,16500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,4.0,3.0,"2,159 sq ft",0.5,3,2670
"West Cromwell Road, London",,1712,790,,Ask agent,Ask agent,House,1.0,,Ask agent,0.4,3,2671
"Collingham Place, South Kensington",,1712,0,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2672
"Emperor's Gate, South Kensington, London, SW7",SW7,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,301 sq ft,0.4,3,2673
"Collingham Place, Kensington, SW5",SW5,1712,1975,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2674
"Cromwell Road, Earl`s Court",,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,140 sq ft,0.4,3,2675
"Penywern Road, LONDON",,1712,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.3,3,2676
"Penywern Road, Earls Court, London, SW5",SW5,1712,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2677
"Philbeach Gardens, London",,1729,0,Long term,Furnished,Ask agent,Apartment,1.0,,Ask agent,0.3,3,2678
"Elsham Road, London, W14",W14,1730,1996,Long term,Furnished,Ask agent,Flat,1.0,1.0,301 sq ft,0.4,3,2679
"West Cromwell Road , London",,1733,800,,Ask agent,Ask agent,House,1.0,,Ask agent,0.4,3,2680
"Earls Court Road, London, SW5",SW5,1733,0,Long term,Furnished,Ask agent,,1.0,1.0,Ask agent,0.3,3,2681
"Campden Grove, Kensington, London, W8",,1733,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.4,3,2682
"Earls Court Road, Earls Court",,1746,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2683
"Earls Court Road, Kensington",,1746,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2684
", Elsham Road, London, W14",W14,1750,2019,Long term,Furnished,Ask agent,Studio,,,301 sq ft,0.4,3,2685
"Upper Addison Gardens, London",,1750,2019,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2686
Knaresborough Place London SW5,,1750,0,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2687
"Princes Gate, South Kensington",,1777,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.6,3,2688
"Collingham Place, South Kensington, SW5",SW5,1798,2075,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2689
"Russell Gardens, Holland Park",,1798,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2690
"Holland Road, Kensington, W14",W14,1798,2075,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2691
"Sheffield Terrace, Kensington W8",,8017,11100,Long term,Unfurnished,Ask agent,Apartment,3.0,2.0,"1,891 sq ft",0.4,3,2692
"Collingham Place, London, SW5",SW5,1798,0,Long term,Furnished,Ask agent,Apartment,,1.0,289 sq ft,0.4,3,2693
"Collingham Place, London, SW5",SW5,1798,0,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,0.4,3,2694
"Knaresborough Place, Earls Court, London, SW5",SW5,1799,2075,Long term,Furnished,Ask agent,Flat,1.0,1.0,173 sq ft,0.3,3,2695
"Courtleigh, London, W8",,1800,2077,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2696
"Cornwall Gardens, South Kensington, London, SW7",SW7,1820,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.4,3,2697
"Penywern Road, Earls Court, London, SW5",SW5,1820,2100,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2698
"Penywern Road, London",,1820,840,,Ask agent,Ask agent,House,1.0,,Ask agent,0.3,3,2699
"Southwell Gardens, South Kensington, SW7",SW7,1820,2100,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2700
"Cheniston Gardens, High Street Kensington, W8",,1820,2100,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2701
"West Cromwell Road, Earls Court, London SW5",,1820,2100,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2702
"Penywern Road, Earls Court, London, SW5",SW5,1820,2100,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2703
"Penywern Road, LONDON",,1820,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.3,3,2704
"Penywern Road, LONDON",,1820,0,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,0.3,3,2705
"Courtfield Gardens, South Kensington, London, SW5",SW5,1842,2125,Long term,Furnished,Ask agent,Studio,,1.0,392 sq ft,0.3,3,2706
"Courtfield Road, South Kensington, London, SW7",SW7,1842,2125,Long term,Furnished,Ask agent,Flat,1.0,1.0,365 sq ft,0.4,3,2707
"Elvaston Place, South Kensington, London, SW7",SW7,1842,2125,Long term,Part furnished,Ask agent,Studio,,1.0,217 sq ft,0.4,3,2708
"Philbeach Gardens, London, SW5",SW5,1850,2134,Long term,Furnished,Ask agent,Studio,,1.0,269 sq ft,0.3,3,2709
"Longridge Road, 
Earls Court, SW5",SW5,1863,2150,,Furnished,Ask agent,Flat,,1.0,226 sq ft,0.4,3,2710
"Penywern Road, London",,1863,860,,Ask agent,Ask agent,House,1.0,,Ask agent,0.3,3,2711
Stanhope Gardens Knightsbridge SW7,,5521,6370,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.3,3,2712
"Penywern Road, Earls Court, London, SW5",SW5,1863,2150,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2713
"Penywern Road, LONDON",,1863,0,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,0.3,3,2714
"Southwell Gardens, South Kensington, SW7",SW7,1863,2150,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2715
"Collingham Place, Earls Court, SW5",SW5,1885,2175,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2716
"Pembroke Road, Kensington, London, W8",,1900,2193,Long term,Furnished,Ask agent,Flat,1.0,1.0,512 sq ft,0.4,3,2717
"Hogarth Road, Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Flat,1.0,1.0,490 sq ft,0.4,3,2718
"Warwick Road (D4/119), Earls Court, London, SW5",SW5,1950,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2719
"Warwick Road (2/119), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2720
"Elvaston Place, 
South Kensington, SW7",SW7,1950,2250,Long term,Furnished,Ask agent,Flat,,1.0,215 sq ft,0.4,3,2721
"Cromwell Road, South Kensington",,1950,0,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2722
"Cromwell Road, Earls Court",,1950,2595,Long term,Part furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2723
"Cromwell Road, London",,1950,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2724
Cromwell Road Earls Court SW5,,1950,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2725
"Cromwell Road, Earls Court",,1950,0,Long term,Ask agent,Ask agent,Studio,,1.0,Ask agent,0.3,3,2726
"Cromwell Road, London, SW5",SW5,1950,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2727
"Warwick Road (4/121), Earls Court, London, SW5",SW5,1950,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2728
"Cromwell Road, Earls Court, London, SW5",SW5,1950,2250,Long term,Part furnished,Ask agent,Flat,1.0,1.0,531 sq ft,0.4,3,2729
"Warwick Road (1/119), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2730
Old Brompton Road Earls Court SW5,,1950,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2731
"Warwick Road (5/119), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2732
"Stanhope Gardens, South Kensington, London, SW7",SW7,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,371 sq ft,0.3,3,2733
"Cromwell Road, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Apartment,,1.0,377 sq ft,0.3,3,2734
"Emperor's Gate, South Kensington, London, SW7",SW7,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,435 sq ft,0.4,3,2735
"Earls Court Road, London, W8 6EF, UK",,4030,0,,Furnished,Ask agent,Apartment,2.0,1.0,670 sq ft,0.4,3,2736
"Warwick Road (2,121), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2737
"Warwick Road (C3/119), Earls Court, London, SW5",SW5,1950,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2738
Knaresborough Place London SW5,,1950,0,,Furnished,Ask agent,Flat,,1.0,Ask agent,0.3,3,2739
"Penywern Road, Earls Court, London SW5",,1993,2300,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2740
"Holland Road, London, W14",W14,1993,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2741
"Nevern Square, Earl`s Court, SW5",SW5,1993,2300,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,484 sq ft,0.3,3,2742
"Holland Road, West Kensington",,1993,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2743
"Atwood House, Beckford Close, W14",W14,1993,2300,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2744
"Cromwell Road, London, SW5",SW5,1993,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2745
"Pembroke Road, Kensington, London, W8",,1994,2300,Long term,Furnished,Ask agent,Flat,1.0,1.0,421 sq ft,0.4,3,2746
"Elvaston Place, South Kensington, London, SW7",SW7,1994,2300,Long term,Furnished,Ask agent,Studio,,1.0,377 sq ft,0.4,3,2747
"Boltons Court, 216 Old Brompton Road, London, SW5",SW5,1995,2302,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2748
"Earl's Court Square, Earl's Court, SW5",SW5,1998,2307,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.3,3,2749
"Cromwell Road, SW5",SW5,1998,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2750
"Longridge Road, Chelsea, SW5",SW5,1998,0,Long term,Furnished,Ask agent,Apartment,1.0,,Ask agent,0.3,3,2751
"Warwick Road, Kensington, London",,1998,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2752
"Winchester Court, Vicarage Gate, London, W8",,1998,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2753
"Emperors Gate, South Kensington",,2000,2308,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2754
"Old Brompton Road, 
Earls Court, SW5",SW5,2000,2308,Long term,Furnished,Ask agent,Flat,,1.0,422 sq ft,0.3,3,2755
"Napier Road, Hammersmith, London, W14",W14,2000,2308,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,477 sq ft,0.4,3,2756
"Emperors Gate, South Kensington",,2000,2481,Long term,Furnished,Ask agent,Apartment,1.0,1.0,500 sq ft,0.3,3,2757
"Broadwood Terrace, Kensington, London, W8",,2000,0,,Furnished,Ask agent,Studio,,1.0,505 sq ft,0.4,3,2758
Brompton Road Knightsbridge SW3,,9317,10750,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3,2759
"Philbeach Gardens, 
Earls Court, SW5",SW5,2000,2769,Long term,Furnished,Ask agent,Flat,1.0,1.0,389 sq ft,0.3,3,2760
"Old Brompton Road, Earls Court, London, SW5",SW5,2002,2310,,Furnished,Ask agent,Apartment,1.0,1.0,417 sq ft,0.3,3,2761
"Chatsworth Court, Pembroke Road, W8",,2002,2310,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2762
"Palace Gardens Terrace, Kensington, W8",,2050,2365,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.2,3,2763
"Broadwalk Court, Kensington, W8",,2050,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2764
"Nevern Place, Earls Court",,2058,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2765
"Kensington Church Street,London,W8",,2058,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,2766
"De Vere Gardens, High Street Kensington, London, W8",,2059,2375,Long term,Furnished,Ask agent,Flat,1.0,1.0,350 sq ft,0.5,3,2767
"Earls Court Square, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Flat,1.0,1.0,460 sq ft,0.3,3,2768
"Elvaston Place, South Kensington, London, SW7",SW7,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,242 sq ft,0.4,3,2769
"Penywern Road, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,183 sq ft,0.3,3,2770
"Cromwell Road, South Kensington, London, SW7",SW7,2059,2375,Long term,Furnished,Ask agent,Flat,1.0,1.0,465 sq ft,0.4,3,2771
"Earls Court Square, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,380 sq ft,0.3,3,2772
"Old Brompton Road, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Flat,2.0,1.0,530 sq ft,0.3,3,2773
"Cornwall Gardens, South Kensington, London, SW7",SW7,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,320 sq ft,0.4,3,2774
"Eardley Cres, London, SW5",SW5,2080,2400,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2775
"Olaf Court, Kensington Church Street, London, W8",,2080,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2776
"Eardley Crescent, London, SW5",SW5,2080,0,Short term,Furnished,Ask agent,Studio,,,Ask agent,0.3,3,2777
"Eardley Crescent, London, SW5",SW5,2081,2401,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2778
"Elsham Road, W14",W14,2097,2423,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,2779
"Warwick Road, London, W14",W14,2100,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,517 sq ft,0.4,3,2780
"Earls Court Road, 
Kensington, W8",,2100,2423,Long term,Furnished,Ask agent,Flat,1.0,1.0,398 sq ft,0.4,3,2781
"Flat ,  Airlie Gardens, London, , London, W8",,2100,2423,Long term,Furnished,Ask agent,Flat,1.0,1.0,269 sq ft,0.3,3,2782
"Observatory Gardens, London, W8",,9945,13770,Long term,Furnished,Ask agent,Flat,3.0,3.0,Ask agent,0.4,3,2783
"Courtfield Road, South Kensington, SW7",SW7,2102,1588,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2784
"Penywern Road, Earls Court, London, SW5",SW5,2123,2450,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2785
"Penywern Road, Earls Court, London SW5",,2123,2450,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2786
"Penywern Road, London",,2123,980,,Ask agent,Ask agent,House,1.0,,Ask agent,0.3,3,2787
"Barkston Gardens, SW5",SW5,2145,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2788
"Barkston Gardens, Earls Court, London, SW5",SW5,2145,2475,Long term,Furnished,Ask agent,Apartment,1.0,1.0,484 sq ft,0.3,3,2789
"Point West, Cromwell Road, London SW7",,2145,2475,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.3,3,2790
"Lexham Gardens, Kensignton",,2145,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2791
"Holland Road, LONDON",,2145,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,,Ask agent,0.4,3,2792
"Courtfield Gardens, South Kensington",,2145,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2793
"Emperors Gate, London, SW7",SW7,2145,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2794
"Old Brompton Road, Earls Court",,2145,2475,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2795
Harrington Gardens,,2145,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2796
"Campden Hill Gardens, W8",,2145,2700,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2797
"Old Brompton Road, London, SW5",SW5,2150,2481,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2798
"Queen's Gate Terrace, South Kensington",,2167,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2799
"Philbeach Gardens, Earls Court, London, SW5",SW5,2167,2500,Long term,Furnished,Ask agent,Flat,1.0,1.0,495 sq ft,0.3,3,2800
"LEXHAM GARDENS, South Kensington, London, W8",,2167,2500,Long term,Furnished,Ask agent,Studio,,1.0,323 sq ft,0.4,3,2801
"Gloucester Road, South Kensington, London, SW7",SW7,2167,2500,Long term,Furnished,Ask agent,Studio,,1.0,397 sq ft,0.4,3,2802
"Warwick Road (3/119), Earls Court, London, SW5",SW5,2197,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2803
"Bolton Gardens, Earls Court",,2197,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2804
"Warwick Road (1/121), Earls Court, London, SW5",SW5,2197,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2805
"Old Brompton Road, 
Earls Court, SW5",SW5,3965,4575,Long term,Part furnished,Ask agent,Flat,2.0,2.0,848 sq ft,0.4,3,2806
"Elsham Road, London, W14",W14,2200,0,Long term,Furnished,Ask agent,Studio,,,334 sq ft,0.4,3,2807
"79 Palace Gardens Terrace, London",,2200,2538,Long term,Furnished,Ask agent,Studio,,1.0,345 sq ft,0.3,3,2808
"Kensington, London, W8",,2200,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2809
"Nevern Road, Earls Court",,2210,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2810
"Cromwell Road, South Kensington",,2210,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2811
"Pembroke Road, London, W8",,2210,2550,Long term,Furnished,Ask agent,Studio,,1.0,374 sq ft,0.4,3,2812
"Old Brompton Road, Earls Court",,2249,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2813
"Philbeach Gardens, Earls Court, SW5 9EB – 2 Bedrooms Flat",,2249,2595,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3,2814
Nevern Place London SW5,,2250,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2815
"Lower Addison Gardens, London, W14",W14,2250,0,Short term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2816
"Rushmore House, Russell Road, Kensington, W14",W14,2250,0,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,526 sq ft,0.4,3,2817
"Elsham Road, London, W14",W14,2250,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,560 sq ft,0.4,3,2818
"Russell Gardens, London, W14",W14,2253,0,Long term,Furnished,Ask agent,Flat,3.0,,Ask agent,0.4,3,2819
"Kensington High Street, London, W14",W14,2253,2600,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2820
"West Cromwell Road, Earls Court, London, SW5",SW5,2275,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2821
"Penywern Road, LONDON",,2275,0,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,0.3,3,2822
"Elsham Road, Olympia, London, W14",W14,2275,2625,Long term,Furnished,Ask agent,Flat,2.0,1.0,505 sq ft,0.4,3,2823
"West Cromwell Road, London",,2275,1050,,Ask agent,Ask agent,House,1.0,,Ask agent,0.4,3,2824
"Old Brompton Road, Earls Court, London, SW5",SW5,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,418 sq ft,0.3,3,2825
"Elsham Road, West Kensington",,2275,0,Long term,Part furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,2826
"Cromwell Road, Earls Court, London, SW5",SW5,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,422 sq ft,0.4,3,2827
"Bladon Lodge, London, SW5",SW5,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2828
"Penywern Road, London",,2275,1050,,Ask agent,Ask agent,House,1.0,,Ask agent,0.3,3,2829
"Barkston Gardens, London, SW5",SW5,2275,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2830
"Penywern Road, LONDON",,2275,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2831
"West Cromwell Road, Earls Court, London SW5",,2275,2625,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,2832
"Queen's Gate Terrace, South Kensington, London, SW7",SW7,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,360 sq ft,0.4,3,2833
"Pembroke Road, Kensington, London, W8",,2275,2625,Long term,Furnished,Ask agent,Studio,,1.0,440 sq ft,0.4,3,2834
"Cromwell Road, London, SW7",SW7,2297,2650,Long term,Furnished,Ask agent,Studio,,1.0,370 sq ft,0.3,3,2835
"Point West, South Kensington, London, SW7",SW7,2297,2650,Long term,Furnished,Ask agent,Studio,,1.0,383 sq ft,0.3,3,2836
"HOLLAND ROAD, London, W14",W14,2297,2400,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,2837
"Holland Road, W14",W14,2297,2296,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2838
"Holland Road, Holland Park, London, W14",W14,2319,2675,Long term,Part furnished,Ask agent,Flat,2.0,1.0,793 sq ft,0.4,3,2839
"Nevern Place, Earls Court, London, SW5",SW5,2340,2700,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3,2840
"De Vere Gardens, South Kensington, London, W8",,2340,700,Short term,Ask agent,Ask agent,Studio,,1.0,263 sq ft,0.5,3,2841
"Harrington Gardens, SW7",SW7,2349,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,341 sq ft,0.4,3,2842
"Holland Street, London, W8",,2362,2725,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2843
"Harrington Gardens, South Kensington, London, SW7",SW7,2383,2750,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,2844
"St Stephens Walk, South Kensington, London, SW7",SW7,2383,2750,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2845
"HOLLAND Road, London",,2383,0,Long term,Unfurnished,Ask agent,Apartment,2.0,,Ask agent,0.4,3,2846
"Holland Road, 
High Street Kensington, W14",W14,2383,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,463 sq ft,0.4,3,2847
"Holland Road, Kensington Olympia, London W14",,2383,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2848
"Palace Gate, Kensington, W8",,52000,60000,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,5.0,5.0,Ask agent,0.5,3,2849
"Cromwell Road, South Kensington",,2383,2049,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,2850
"Holland Road, London",,2383,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2851
"Holland Road, Holland Park",,2383,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2852
"Holland Road, Holland Park",,2383,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2853
"Holland Road, W14",W14,2383,2750,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,2854
"Old Brompton Road, Earls Court, London, SW5",SW5,2384,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,401 sq ft,0.3,3,2855
"Elvaston Place, South Kensington, London, SW7",SW7,2384,700,Short term,Ask agent,Ask agent,Studio,,1.0,217 sq ft,0.4,3,2856
"Collingham Road, South Kensington, London, SW5",SW5,2384,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,606 sq ft,0.4,3,2857
"Holland Road, London, W14",W14,2390,2758,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,2858
"Mall Chambers, Kensington Mall, W8",,2400,2769,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3,2859
"Eardley Crescent, London, SW5",SW5,2470,2850,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,2860
